cpu_usage_percent,memory_usage_percent,disk_usage_percent
16.1,70.6,96.5
10.0,70.4,96.5
5.7,71.7,96.5
3.5,70.2,96.5
6.1,69.3,96.5
18.6,69.1,96.5
6.6,70.0,96.5
8.2,69.8,96.5
4.6,71.0,96.5
4.8,70.1,96.5
12.4,68.7,96.5
6.5,68.7,96.5
26.2,68.3,96.5
12.8,72.4,96.5
12.2,72.0,96.6
4.3,69.3,97.1
12.5,67.2,97.3
11.5,70.2,97.5
13.3,67.5,96.7
12.5,67.0,96.7
11.5,65.8,96.7
25.7,70.7,96.7
25.5,70.9,97.8
10.1,67.9,96.7
32.5,67.3,97.2
2.3,67.6,97.4
3.5,67.7,98.0
3.6,66.0,97.8
3.6,67.2,97.9
12.9,67.5,97.8
17.8,67.8,97.8
6.2,70.8,97.9
5.0,74.2,97.9
4.3,72.7,97.9
13.4,68.8,97.9
10.8,70.4,98.0
16.4,69.9,98.0
3.9,68.3,98.0
3.7,68.0,98.0
3.0,67.0,98.0
6.4,67.2,98.0
4.0,66.6,98.0
3.7,66.7,98.0
2.6,66.8,98.0
4.0,66.8,98.0
4.7,67.7,98.0
3.1,67.5,98.0
7.5,66.8,98.0
6.6,66.7,98.0
7.8,66.7,98.0
3.0,66.7,98.0
4.7,66.7,98.0
4.6,66.8,98.0
7.0,67.8,98.0
3.9,67.5,98.0
2.9,66.9,98.0
18.8,67.5,98.0
3.1,67.8,98.0
4.4,67.7,98.0
4.7,67.7,98.0
5.7,67.6,98.0
2.3,67.8,98.0
2.5,67.6,98.0
2.9,67.5,98.0
3.1,67.6,98.0
2.0,67.6,98.0
4.4,67.7,98.0
3.6,76.8,98.3
3.0,77.4,98.3
7.1,77.9,99.5
3.4,78.1,99.5
4.7,77.9,99.7
7.2,79.6,99.7
3.6,81.2,99.7
10.0,80.4,99.7
2.6,80.3,99.7
9.4,79.6,99.7
7.6,72.9,99.4
2.5,72.6,99.4
6.4,72.8,99.4
3.5,72.7,99.4
3.9,72.9,99.4
1.9,72.1,99.4
1.9,71.8,99.4
1.6,71.9,99.4
2.6,71.9,99.4
5.6,72.0,99.4
3.6,72.2,99.4
4.9,72.1,99.4
1.4,72.2,99.4
2.1,72.1,99.4
2.6,72.1,99.4
4.1,71.9,99.4
8.6,72.2,99.4
0.5,71.6,99.4
1.9,71.7,99.4
3.1,71.8,99.4
3.2,71.0,99.4
2.6,71.1,99.4
2.1,71.2,99.4
2.9,71.4,99.4
2.1,71.5,99.4
2.5,71.3,99.4
1.6,71.3,99.4
0.9,71.3,99.4
6.2,72.2,99.4
20.0,73.9,99.4
31.0,77.9,99.4
23.5,77.1,99.4
24.0,76.5,99.4
14.3,77.1,99.4
12.2,77.1,99.4
12.6,76.7,99.4
18.7,77.1,99.4
24.4,77.1,99.4
15.8,77.1,99.4
14.1,77.1,99.4
22.9,80.8,99.8
25.6,80.6,99.8
15.9,79.4,99.8
25.3,79.6,99.8
11.5,78.9,99.8
17.3,80.0,99.8
14.8,79.4,99.8
20.7,79.6,99.8
15.0,79.3,99.8
24.3,79.5,99.8
27.2,78.6,99.7
25.0,78.7,99.7
19.8,79.1,99.7
18.6,79.6,99.7
22.2,80.2,99.7
18.1,79.6,99.7
17.1,78.4,99.7
13.7,77.9,99.7
12.6,78.3,99.7
15.5,78.3,99.7
22.2,78.4,99.7
21.2,78.1,99.7
16.5,78.3,99.7
15.5,79.1,99.7
14.9,78.1,99.7
11.6,78.4,99.7
19.0,76.5,99.7
17.6,76.5,99.7
13.4,76.6,99.7
13.0,76.7,99.7
16.4,75.0,99.7
12.4,74.3,99.7
13.9,74.4,99.7
12.5,73.9,99.7
12.8,74.0,99.7
12.5,74.0,99.7
13.5,74.1,99.7
15.2,73.7,99.7
14.6,73.7,99.7
17.5,73.8,99.7
13.7,73.8,99.7
11.8,73.9,99.7
19.4,74.0,99.7
14.3,73.9,99.7
14.7,73.8,99.7
64.2,78.3,99.7
17.2,79.4,99.6
6.5,78.7,99.6
6.2,77.7,99.6
7.5,78.1,99.6
6.8,77.4,99.6
4.1,77.5,99.6
16.4,74.3,99.6
5.5,74.3,99.6
5.5,74.4,99.6
5.4,71.4,99.6
4.7,71.4,99.6
5.0,72.2,99.6
8.9,74.3,99.6
11.1,72.9,99.6
7.3,72.2,99.6
8.0,72.3,99.6
5.8,72.6,99.6
7.8,72.9,99.6
7.7,73.2,99.6
14.0,72.2,99.6
13.2,72.0,99.6
12.9,71.5,99.6
6.1,71.8,99.6
6.4,72.0,99.6
4.0,71.8,99.6
5.4,72.2,99.6
7.1,72.3,99.6
9.9,72.4,99.6
10.3,72.4,99.6
11.5,72.5,99.6
10.3,72.5,99.6
36.9,71.6,99.6
16.4,72.3,99.6
13.4,72.1,99.6
16.1,70.9,99.6
15.1,71.5,99.6
17.3,70.5,99.6
17.8,70.6,99.6
14.0,70.8,99.6
16.7,71.9,99.6
34.5,81.0,98.6
9.1,81.1,98.6
26.1,86.5,98.6,"{'bytes_sent': 411914007, 'bytes_recv': 9264343926, 'packets_sent': 2426503, 'packets_recv': 7212940, 'errin': 0, 'errout': 0, 'dropin': 51336, 'dropout': 0}",411914007,9264343926,2426503,7212940,0,0,51336,0
20.7,73.1,98.5,"{'bytes_sent': 549502972, 'bytes_recv': 11545009424, 'packets_sent': 3140494, 'packets_recv': 9105676, 'errin': 0, 'errout': 0, 'dropin': 61410, 'dropout': 0}",549502972,11545009424,3140494,9105676,0,0,61410,0
19.7,73.7,98.7
6.2,74.3,98.7
7.9,73.8,98.7
3.7,71.7,98.7
5.9,77.5,98.8
15.8,78.6,98.8
16.3,73.9,99.0
34.5,73.9,99.1
25.5,74.5,99.1
15.8,75.7,99.8
29.4,76.3,99.8
28.4,79.1,99.8
25.7,79.2,99.8
15.4,75.7,99.8
12.5,75.6,99.8
17.4,76.0,99.8
